"identif","carga.15","intensidad.15","ocupacion.15","velocidad.15","Hora","diaSemana","diaMes","Mes"
"PM10013","16","540","1","0","07","Saturday","16","12"
"PM10021","14","660","2","42","07","Saturday","16","12"
"PM10091","21","1020","2","89","07","Saturday","16","12"
"PM10092","7","240","0","84","07","Saturday","16","12"
"PM10141","15","720","2","58","07","Saturday","16","12"
"PM10142","18","600","1","88","07","Saturday","16","12"
"PM10211","12","600","1","90","07","Saturday","16","12"
"PM10212","8","420","0","90","07","Saturday","16","12"
"PM10241","12","600","1","87","07","Saturday","16","12"
"PM10242","9","660","0","97","07","Saturday","16","12"
"PM10341","12","600","1","86","07","Saturday","16","12"
"PM10342","14","720","1","91","07","Saturday","16","12"
"PM10343","11","180","1","88","07","Saturday","16","12"
"PM10344","7","120","0","100","07","Saturday","16","12"
"PM10401","16","1080","1","85","07","Saturday","16","12"
"PM10402","13","840","1","64","07","Saturday","16","12"
"PM10441","12","600","1","77","07","Saturday","16","12"
"PM10442","23","780","2","50","07","Saturday","16","12"
"PM10444","7","120","0","63","07","Saturday","16","12"
"PM10472","15","1020","1","95","07","Saturday","16","12"
"PM10501","18","900","2","75","07","Saturday","16","12"
"PM10502","18","1560","1","83","07","Saturday","16","12"
"PM10561","14","660","2","90","07","Saturday","16","12"
"PM10611","26","1680","3","91","07","Saturday","16","12"
"PM10612","22","720","2","81","07","Saturday","16","12"
"PM10661","31","1560","3","81","07","Saturday","16","12"
"PM10662","15","900","3","62","07","Saturday","16","12"
"PM10711","21","1380","2","87","07","Saturday","16","12"
"PM10712","23","1140","2","76","07","Saturday","16","12"
"PM30754","17","1140","1","88","07","Saturday","16","12"
"PM10831","14","1200","1","92","07","Saturday","16","12"
"PM10832","22","1500","2","86","07","Saturday","16","12"
"PM10861","17","1380","2","97","07","Saturday","16","12"
"PM10862","18","900","1","92","07","Saturday","16","12"
"PM10865","20","660","2","87","07","Saturday","16","12"
"PM10901","21","960","4","85","07","Saturday","16","12"
"PM10902","18","840","3","81","07","Saturday","16","12"
"PM10907","9","300","1","63","07","Saturday","16","12"
"PM10941","24","1200","2","75","07","Saturday","16","12"
"PM10942","9","300","1","86","07","Saturday","16","12"
"PM10945","29","480","3","79","07","Saturday","16","12"
"PM10948","20","300","4","85","07","Saturday","16","12"
"PM10981","36","1800","4","80","07","Saturday","16","12"
"PM10982","10","540","0","91","07","Saturday","16","12"
"PM10985","11","180","1","83","07","Saturday","16","12"
"PM11071","32","2160","3","96","07","Saturday","16","12"
"PM11074","26","420","3","91","07","Saturday","16","12"
